,0
foolishness,0
hath,0
wholesome,0
takest,0
feelings,0
anger,3
vaivaswata,1
matrix,0
kindled,1
convict,0
diadem,0
rushed,2
saliva,0
revelation,0
indirectly,1
open,3
distortions,0
expecteth,0
perishing,0
rage,0
unbridled,0
looketh,0
washed,0
nursingmother,0
caper,0
prosperous,0
lightmindedness,0
imprisonment,0
maghavan,1
supported,1
distinctions,0
lambs,0
illumination,2
mercury,0
partakers,0
tell,4
build,0
neither,6
soft,0
detraction,0
thirsting,0
filial,0
shortness,0
mentally,0
land,0
nonexistent,0
ignorantly,0
warning,0
conceal,0
events,0
fare,0
occupation,0
commit,0
shocks,0
performs,3
noseconsciousness,0
certainty,0
gluttony,0
gospel,0
guest,7
argumentative,0
axletree,0
tillage,0
countercurrent,0
approveth,0
mood,0
impressions,0
bull,0
valuable,0
visible,15
siding,0
cypress,0
possessor,0
propped,0
sacrificial,1
separateness,0
cistern,0
amiable,0
treats,0
let,3
coward,0
handle,1
something,1
descending,0
lake,0
drew,0
disquieted,0
felt,1
ends,1
afar,0
remedy,0
casts,0
i,0
affliction,0
illuminating,0
pained,0
aristotle,0
disadvantages,0
imperishable,7
incantations,0
debt,0
ruled,0
join,1
conveys,0
winds,0
discerning,1
convenient,0
survive,0
adorable,1
staying,0
united,4
origination,0
aged,1
limitless,2
individuality,0
exalting,0
sweareth,0
bewitching,0
great,23
overtaken,0
hardly,0
yielding,0
voyage,0
created,6
seventh,0
suspect,0
embrace,0
came,2
soothsayer,0
addressing,0
explained,2
violent,0
joyful,1
idle,0
regrets,0
sodium,0
insuperable,0
riot,0
reverently,1
elsewhere,0
kingdoms,0
exquisite,0
succession,0
joy,6
fears,2
iniquity,0
sunbeam,0
suns,0
thus,22
asunder,1
wonder,0
withheld,0
injurious,0
fillet,0
gives,3
pamper,0
skillful,0
prepareth,0
aversion,0
kidneys,0
play,0
disenchantment,0
afflicted,0
transferring,0
decease,0
sassing,0
possesseth,0
conformity,0
agni,5
inaudible,0
leave,0
reserveth,0
joyfulness,0
drying,0
appeared,3
ended,0
detach,0
rises,3
immutable,1
flows,1
asked,5
folding,0
wand,0
criminal,0
victory,8
marrow,0
decreaseth,0
abandoning,0
although,15
limit,0
eagle,0
glass,0
refreshment,0
song,0
generalization,0
polestar,0
provide,0
diligently,0
earnestly,0
bibles,0
smites,0
idiosyncrasies,0
deviseth,0
respondedthe,0
forming,0
distressdistress,0
charges,0
forgotten,0
sojourning,0
connected,0
suffers,1
meetings,0
abuse,0
admit,0
shrinking,0
kings,0
confections,0
creations,0
short,1
existed,1
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,1
fond,0
ruler,9
pricketh,0
contents,0
considereth,0
devotes,0
reconciliation,0
entrap,0
everlastingness,0
vestments,0
tale,0
weighed,0
heap,0
common,1
grove,0
amazed,0
seeks,1
flourished,0
almond,0
befall,1
rolling,0
exhaustion,0
brings,2
looked,0
resolves,0
places,0
asketh,0
armpit,0
sacrifice,17
quarrel,0
longed,0
stirreth,0
spiritual,7
breaks,0
devoureth,0
fragmentary,1
coarse,0
jesse,0
abnormal,0
jest,0
stronger,0
inclineth,0
usually,0
animal,0
roguery,0
tile,0
galaxies,0
drives,0
condemnation,0
renounce,0
acknowledgment,0
sat,1
harps,0
precedes,0
work,3
motions,0
dungcarts,0
arranging,0
waketh,0
hither,0
giveth,0
robberies,0
giants,0
lot,0
nigh,0
overthrow,0
bulk,0
ownership,0
enumerating,0
comparing,0
license,0
exposed,0
lands,1
stops,0
attribution,0
seducers,0
rose,0
rupa,0
whales,0
deficiency,0
poetry,0
honoured,0
ram,0
merchants,0
insatiable,1
waxes,0
paramatman,1
shineth,0
husbandman,0
fidelity,0
vacancy,0
absorbing,0
preserver,1
reward,2
stumbling,0
lightens,0
past,4
surrender,1
scandal,0
unnoticed,0
excellence,0
entity,0
promise,1
potencies,0
astronomer,0
overturneth,0
saved,0
familiarly,0
lifechannels,0
selfrealization,0
mocker,0
table,0
wandered,0
located,0
mould,0
think,11
filthiness,0
perhaps,0
welling,0
links,0
swallow,0
grandest,0
womb,1
arose,0
theft,0
watered,0
spoke,0
ripe,0
drifting,0
torments,0
warm,0
hunter,0
examines,1
prajapati,1
thief,0
expends,0
devotion,0
practising,0
lions,0
cluster,0
vanishing,1
shrinks,1
resting,0
irritated,1
grant,0
application,1
planter,0
portions,0
robes,0
takes,3
disinterested,0
youth,0
workmaster,0
joints,0
projections,1
stalk,1
supplement,0
delusion,4
smothers,0
disorder,0
married,0
employments,0
imitate,0
sheweth,0
crossed,1
firstfruits,0
poured,0
blemish,0
intestines,0
withdrawal,0
signs,0
quieted,1
thefts,0
high,0
luxuriant,0
endowment,0
differentiate,1
striking,0
promised,0
acquaint,0
out,0
caused,0
reservoir,0
sign,0
dependent,1
crosses,3
antetype,0
thunder,0
examined,0
easily,2
claiming,0
forsaken,0
touching,1
resistance,0
villager,0
redeemed,0
stress,0
haughtiness,0
keep,1
revealeth,0
concupiscence,0
selfconscious,0
better,1
dreamless,0
aggregates,0
displayed,0
mahomet,0
mocketh,0
pleasant,7
illusion,0
dissolved,0
dhamma,0
identity,0
costly,0
separation,0
frivolous,0
laughingstock,0
borders,0
feign,0
sendeth,0
penetrable,0
disgraced,0
steadies,0
equivalent,0
ministry,0
begged,1
enlighteneth,0
thence,0
ceaselessly,0
crouch,0
driver,8
full,5
ants,0
affirmations,0
discomfort,0
joining,0
flax,0
intuitional,0
perverteth,0
club,0
causes,0
grape,0
embodying,0
sinews,1
needles,0
knows,32
nowhere,0
houses,1
basin,0
employment,0
expedient,0
omen,0
flushes,0
naming,1
murders,0
temperate,0
morsel,0
spirit,7
diviner,0
magnified,0
brimful,0
base,0
flash,2
knowers,2
artificers,0
root,2
whirlwinds,0
laden,0
disciples,0
referred,1
channel,1
food,3
accrue,0
schismatical,0
ago,0
burn,3
equanimous,0
purpose,3
pratyagatman,1
whilst,0
goal,11
theory,1
departs,0
fleetness,1
compare,0
opposition,0
distress,0
incensed,0
getteth,0
sansara,0
thrust,0
merely,7
advantage,0
worship,13
forgeth,0
wilful,0
pentapolis,0
vigour,2
churlishness,0
interior,0
contradistinction,0
honours,0
sureties,0
cattle,3
temporary,1
murder,0
condition,2
concerned,1
marbles,0
chosen,2
upanishads,0
creatures,2
