,0
foolishness,2
hath,65
wholesome,0
takest,0
feelings,0
anger,11
vaivaswata,0
matrix,0
kindled,0
convict,0
diadem,0
rushed,0
saliva,0
revelation,0
indirectly,0
open,12
distortions,0
expecteth,1
perishing,0
rage,1
unbridled,0
looketh,0
washed,1
nursingmother,0
caper,0
prosperous,1
lightmindedness,0
imprisonment,0
maghavan,0
supported,0
distinctions,0
lambs,1
illumination,0
mercury,1
partakers,1
tell,0
build,1
neither,9
soft,1
detraction,0
thirsting,0
filial,0
shortness,0
mentally,0
land,4
nonexistent,0
ignorantly,0
warning,0
conceal,1
events,0
fare,0
occupation,0
commit,0
shocks,0
performs,0
noseconsciousness,0
certainty,1
gluttony,0
gospel,0
guest,0
argumentative,0
axletree,0
tillage,1
countercurrent,0
approveth,0
mood,0
impressions,0
bull,0
valuable,0
visible,0
siding,0
cypress,0
possessor,0
propped,0
sacrificial,0
separateness,0
cistern,1
amiable,1
treats,0
let,38
coward,0
handle,0
something,0
descending,0
lake,0
drew,2
disquieted,0
felt,1
ends,4
afar,2
remedy,1
casts,0
i,0
affliction,2
illuminating,0
pained,0
aristotle,0
disadvantages,0
imperishable,0
incantations,0
debt,0
ruled,1
join,0
conveys,0
winds,2
discerning,0
convenient,0
survive,0
adorable,0
staying,0
united,0
origination,0
aged,0
limitless,0
individuality,0
exalting,0
sweareth,0
bewitching,0
great,10
overtaken,0
hardly,0
yielding,0
voyage,0
created,0
seventh,1
suspect,0
embrace,1
came,0
soothsayer,1
addressing,0
explained,0
violent,1
joyful,4
idle,2
regrets,0
sodium,0
insuperable,0
riot,0
reverently,0
elsewhere,0
kingdoms,0
exquisite,0
succession,0
joy,10
fears,0
iniquity,9
sunbeam,0
suns,0
thus,0
asunder,0
wonder,0
withheld,0
injurious,0
fillet,0
gives,0
pamper,0
skillful,0
prepareth,1
aversion,0
kidneys,0
play,0
disenchantment,0
afflicted,2
transferring,0
decease,0
sassing,0
possesseth,3
conformity,0
agni,0
inaudible,0
leave,4
reserveth,0
joyfulness,0
drying,0
appeared,2
ended,0
detach,0
rises,0
immutable,0
flows,0
asked,1
folding,0
wand,0
criminal,0
victory,2
marrow,0
decreaseth,0
abandoning,0
although,1
limit,0
eagle,2
glass,1
refreshment,0
song,0
generalization,0
polestar,0
provide,1
diligently,1
earnestly,0
bibles,0
smites,0
idiosyncrasies,0
deviseth,4
respondedthe,0
forming,1
distressdistress,0
charges,0
forgotten,1
sojourning,0
connected,0
suffers,0
meetings,0
abuse,0
admit,0
shrinking,0
kings,9
confections,0
creations,0
short,0
existed,0
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,2
fond,0
ruler,0
pricketh,0
contents,0
considereth,3
devotes,0
reconciliation,0
entrap,0
everlastingness,0
vestments,0
tale,0
weighed,0
heap,2
common,2
grove,0
amazed,0
seeks,0
flourished,0
almond,0
befall,1
rolling,0
exhaustion,0
brings,0
looked,3
resolves,0
places,2
asketh,0
armpit,2
sacrifice,0
quarrel,2
longed,0
stirreth,5
spiritual,0
breaks,0
devoureth,1
fragmentary,0
coarse,0
jesse,0
abnormal,0
jest,1
stronger,0
inclineth,1
usually,0
animal,0
roguery,0
tile,0
galaxies,0
drives,0
condemnation,0
renounce,0
acknowledgment,0
sat,1
harps,0
precedes,0
work,15
motions,0
dungcarts,0
arranging,0
waketh,0
hither,1
giveth,6
robberies,2
giants,2
lot,2
nigh,3
overthrow,0
bulk,1
ownership,0
enumerating,0
comparing,0
license,0
exposed,1
lands,0
stops,0
attribution,0
seducers,0
rose,1
rupa,0
whales,0
deficiency,0
poetry,0
honoured,0
ram,1
merchants,0
insatiable,0
waxes,0
paramatman,0
shineth,2
husbandman,0
fidelity,0
vacancy,0
absorbing,0
preserver,0
reward,2
stumbling,0
lightens,0
past,0
surrender,0
scandal,1
unnoticed,0
excellence,0
entity,0
promise,0
potencies,0
astronomer,0
overturneth,0
saved,3
familiarly,0
lifechannels,0
selfrealization,0
mocker,1
table,1
wandered,0
located,0
mould,0
think,5
filthiness,1
perhaps,2
welling,0
links,0
swallow,1
grandest,0
womb,2
arose,0
theft,3
watered,0
spoke,1
ripe,0
drifting,0
torments,0
warm,0
hunter,0
examines,0
prajapati,0
thief,1
expends,0
devotion,0
practising,0
lions,0
cluster,0
vanishing,0
shrinks,0
resting,0
irritated,0
grant,0
application,0
planter,0
portions,0
robes,0
takes,0
disinterested,0
youth,3
workmaster,0
joints,0
projections,0
stalk,0
supplement,0
delusion,0
smothers,0
disorder,0
married,1
employments,0
imitate,1
sheweth,4
crossed,0
firstfruits,0
poured,0
blemish,0
intestines,0
withdrawal,0
signs,0
quieted,0
thefts,0
high,6
luxuriant,0
endowment,0
differentiate,0
striking,1
promised,0
acquaint,0
out,0
caused,0
reservoir,0
sign,0
dependent,0
crosses,0
antetype,0
thunder,0
examined,0
easily,3
claiming,0
forsaken,0
touching,0
resistance,0
villager,0
redeemed,1
stress,0
haughtiness,1
keep,24
revealeth,2
concupiscence,1
selfconscious,0
better,20
dreamless,0
aggregates,0
displayed,0
mahomet,0
mocketh,1
pleasant,1
illusion,0
dissolved,0
dhamma,0
identity,0
costly,0
