,0
foolishness,0
hath,189
wholesome,3
takest,1
feelings,0
anger,14
vaivaswata,0
matrix,0
kindled,3
convict,0
diadem,0
rushed,0
saliva,0
revelation,0
indirectly,0
open,8
distortions,0
expecteth,0
perishing,0
rage,1
unbridled,0
looketh,5
washed,0
nursingmother,0
caper,0
prosperous,1
lightmindedness,0
imprisonment,0
maghavan,0
supported,0
distinctions,0
lambs,2
illumination,0
mercury,0
partakers,0
tell,3
build,3
neither,18
soft,0
detraction,1
thirsting,0
filial,0
shortness,0
mentally,0
land,7
nonexistent,0
ignorantly,1
warning,0
conceal,0
events,0
fare,3
occupation,0
commit,1
shocks,0
performs,0
noseconsciousness,0
certainty,0
gluttony,0
gospel,1
guest,1
argumentative,0
axletree,1
tillage,0
countercurrent,0
approveth,1
mood,0
impressions,0
bull,1
valuable,0
visible,0
siding,0
cypress,2
possessor,0
propped,1
sacrificial,0
separateness,0
cistern,0
amiable,0
treats,0
let,44
coward,1
handle,0
something,0
descending,0
lake,0
drew,0
disquieted,1
felt,0
ends,1
afar,3
remedy,4
casts,0
i,0
affliction,8
illuminating,0
pained,0
aristotle,0
disadvantages,0
imperishable,0
incantations,0
debt,0
ruled,0
join,3
conveys,0
winds,0
discerning,0
convenient,0
survive,0
adorable,0
staying,0
united,0
origination,0
aged,3
limitless,0
individuality,0
exalting,0
sweareth,3
bewitching,0
great,58
overtaken,0
hardly,2
yielding,0
voyage,0
created,21
seventh,0
suspect,1
embrace,1
came,10
soothsayer,0
addressing,0
explained,0
violent,1
joyful,1
idle,3
regrets,0
sodium,0
insuperable,0
riot,0
reverently,0
elsewhere,0
kingdoms,0
exquisite,1
succession,0
joy,17
fears,1
iniquity,15
sunbeam,0
suns,0
thus,2
asunder,0
wonder,2
withheld,0
injurious,3
fillet,0
gives,0
pamper,0
skillful,0
prepareth,0
aversion,0
kidneys,0
play,1
disenchantment,0
afflicted,2
transferring,0
decease,1
sassing,0
possesseth,2
conformity,0
agni,0
inaudible,0
leave,16
reserveth,1
joyfulness,2
drying,1
appeared,1
ended,0
detach,0
rises,0
immutable,0
flows,0
asked,1
folding,0
wand,1
criminal,0
victory,0
marrow,0
decreaseth,1
abandoning,0
although,1
limit,0
eagle,0
glass,0
refreshment,0
song,0
generalization,0
polestar,0
provide,0
diligently,2
earnestly,0
bibles,1
smites,0
idiosyncrasies,0
deviseth,0
respondedthe,0
forming,0
distressdistress,0
charges,1
forgotten,3
sojourning,0
connected,0
suffers,0
meetings,0
abuse,2
admit,0
shrinking,0
kings,6
confections,1
creations,0
short,4
existed,0
jeroboam,1
neitherpainfulnorpleasant,0
defective,1
worthy,3
fond,0
ruler,7
pricketh,2
contents,0
considereth,1
devotes,0
reconciliation,6
entrap,1
everlastingness,0
vestments,1
tale,1
weighed,1
heap,5
common,0
grove,0
amazed,0
seeks,0
flourished,1
almond,0
befall,1
rolling,1
exhaustion,0
brings,0
looked,5
resolves,0
places,4
asketh,1
armpit,0
sacrifice,9
quarrel,2
longed,0
stirreth,0
spiritual,0
breaks,0
devoureth,0
fragmentary,0
coarse,0
jesse,1
abnormal,0
jest,0
stronger,2
inclineth,0
usually,1
animal,0
roguery,0
tile,0
galaxies,0
drives,0
condemnation,0
renounce,0
acknowledgment,1
sat,1
harps,1
precedes,0
work,34
motions,0
dungcarts,0
arranging,0
waketh,2
hither,0
giveth,6
robberies,0
giants,1
lot,7
nigh,1
overthrow,6
bulk,0
ownership,0
enumerating,0
comparing,0
license,1
exposed,1
lands,1
stops,0
attribution,0
seducers,0
rose,4
rupa,0
whales,1
deficiency,0
poetry,0
honoured,10
ram,0
merchants,1
insatiable,1
waxes,0
paramatman,0
shineth,1
husbandman,0
fidelity,6
vacancy,0
absorbing,0
preserver,0
reward,11
stumbling,1
lightens,0
past,1
surrender,0
scandal,0
unnoticed,0
excellence,0
entity,0
promise,0
potencies,0
astronomer,0
overturneth,0
saved,2
familiarly,0
lifechannels,0
selfrealization,0
mocker,1
table,5
wandered,2
located,0
mould,0
think,7
filthiness,0
perhaps,0
welling,0
links,0
swallow,0
grandest,0
womb,4
arose,2
theft,1
watered,1
spoke,3
ripe,2
drifting,0
torments,1
warm,1
hunter,0
examines,0
prajapati,0
thief,2
expends,0
devotion,0
practising,0
lions,1
cluster,1
vanishing,0
shrinks,0
resting,0
irritated,0
grant,1
application,0
planter,0
portions,1
robes,0
takes,1
disinterested,0
youth,6
workmaster,1
joints,0
projections,0
stalk,0
supplement,0
delusion,0
smothers,0
disorder,0
married,2
employments,1
imitate,0
sheweth,5
crossed,0
firstfruits,4
poured,5
blemish,2
intestines,0
withdrawal,0
signs,2
quieted,0
thefts,0
high,60
luxuriant,0
endowment,0
differentiate,0
striking,0
promised,0
acquaint,1
out,0
caused,2
reservoir,0
sign,2
dependent,0
crosses,0
antetype,0
thunder,2
examined,0
easily,2
claiming,0
forsaken,5
touching,2
resistance,0
villager,0
redeemed,1
stress,0
haughtiness,2
keep,27
revealeth,1
concupiscence,0
selfconscious,0
better,23
dreamless,0
aggregates,0
displayed,1
mahomet,0
mocketh,0
pleasant,3
illusion,0
dissolved,0
dhamma,0
identity,0
costly,0
separation,0
frivolous,0
laughingstock,1
borders,0
feign,0
sendeth,2
penetrable,0
disgraced,3
steadies,0
equivalent,0
ministry,0
begged,0
enlighteneth,2
thence,0
ceaselessly,0
crouch,0
driver,0
full,10
ants,0
affirmations,0
discomfort,0
joining,1
flax,0
intuitional,0
perverteth,0
club,0
causes,0
grape,3
embodying,0
sinews,0
needles,0
knows,0
nowhere,0
houses,5
basin,0
employment,0
expedient,1
omen,0
flushes,0
naming,1
murders,0
temperate,1
morsel,0
spirit,11
diviner,0
magnified,4
brimful,0
base,0
flash,0
knowers,0
artificers,2
root,6
whirlwinds,0
laden,1
disciples,0
referred,0
channel,1
food,1
accrue,0
schismatical,1
ago,0
burn,4
equanimous,0
purpose,0
pratyagatman,0
whilst,3
goal,0
theory,0
departs,0
fleetness,0
compare,0
opposition,0
distress,3
incensed,0
getteth,0
sansara,0
thrust,2
merely,0
advantage,1
worship,2
forgeth,1
wilful,1
pentapolis,0
vigour,0
churlishness,1
interior,1
contradistinction,0
honours,0
sureties,0
cattle,1
temporary,0
murder,0
condition,0
concerned,0
marbles,0
chosen,3
upanishads,0
creatures,3
live,6
naturalist,0
tabernacles,0
sully,1
definite,0
measure,1
position,0
hot,1
practice,1
doings,0
explain,1
farreaching,0
attribute,0
minutest,0
unwinding,0
naves,0
longlived,1
urinating,0
shalt,76
earnest,0
electrons,0
nights,0
cheerful,3
contemplation,0
obtained,3
net,0
bound,2
herb,0
brahmana,0
thou,230
savatthi,0
torrent,0
coordinated,0
blood,14
spacious,0
perverse,2
admonish,2
simpler,0
complete,0
wrestled,1
bashfulness,1
dares,0
manifested,0
assemblies,2
holocaust,0
awakes,0
wronging,1
counts,0
manifold,0
emblem,0
meddle,2
continent,1
submit,2
excessive,1
moving,0
surely,3
nest,0
extremes,0
nostrils,0
analysis,0
delighteth,0
blamed,0
wave,1
accused,0
palate,1
amended,0
cessation,0
complaint,2
lending,1
allknowing,0
lift,5
inclining,0
briefly,0
nexus,0
thing,18
assuredly,1
gait,1
meddleth,0
lifespan,0
tilleth,1
accustoming,0
bowels,4
wordsworth,0
correction,4
conquers,0
notices,0
searched,2
lovedst,0
loud,0
reacheth,0
greed,0
swords,1
meddling,0
sutras,0
angelic,0
entreaty,1
semblance,0
materialistic,0
concurring,0
retailer,1
feces,0
lovest,0
classified,0
prayest,1
arrogancy,0
thinly,0
deserveth,0
unwearying,0
pleasures,1
remembers,0
orderly,0
sustained,0
knoweth,10
doom,0
total,0
rewards,0
subtlest,0
err,1
vantage,0
dealer,0
reflecting,0
bud,2
mourn,2
negligence,2
egyptians,0
renowned,1
ceased,1
retract,0
reckoned,0
emotions,0
neglecteth,0
maintaineth,0
placed,0
ensnared,0
spiritually,0
solution,0
kinds,0
jivas,0
tonguesphere,0
beautified,2
parting,0
quality,0
fulfilment,0
moves,0
showers,1
nine,1
troubleth,0
nutriments,0
mingling,0
resemblances,0
train,0
examine,3
niggardliness,1
gain,1
byword,1
secondary,0
perish,9
stage,0
luminous,0
waged,0
attention,0
shrine,0
spent,0
procedure,0
stressfulness,0
ancients,7
contemplatives,0
confoundeth,1
centres,0
unanimous,1
eloquent,0
commentator,0
becoming,0
uneasy,1
stability,0
elegantlooking,0
shin,0
divinity,0
major,0
sakes,2
beating,0
region,0
mitigated,0
impudence,2
worldview,0
divines,0
blossoms,0
qualities,0
removeth,0
ferreted,0
centre,0
revealer,0
creates,0
denoting,1
perceive,0
contemplative,0
for,0
undivided,0
coins,0
birds,4
smallest,0
dart,0
possessed,1
inclines,0
thinks,0
everlasting,13
side,9
beholds,0
temper,0
plant,2
overturned,1
beds,0
physician,6
remnant,2
forward,0
candy,0
rapines,1
hinges,0
remote,0
teachings,0
distance,0
wronged,2
realized,0
gautama,0
draweth,0
mayest,0
seldom,0
unmanageable,0
simile,0
posts,0
real,0
snorteth,0
faster,0
mockery,1
inculcate,0
hides,0
vessels,1
anteroom,0
carrying,0
hired,1
blissful,0
procure,0
vanquishes,0
objects,0
kinsman,1
fivefold,0
mahat,0
mitre,1
kindly,0
insist,0
sent,3
fourfold,0
onepointedness,0
sudden,2
forecasteth,0
mortal,0
petition,1
named,1
disclose,5
observer,0
fourth,1
chooseth,1
trembled,2
onias,1
bethhoron,1
rest,22
book,2
paradoxical,0
betweenthetwo,0
calculates,0
good,95
kindleth,2
visit,1
purged,0
voices,2
supremacy,0
upholds,0
encompassed,0
oath,1
coat,0
grain,0
kids,0
sackcloth,1
likeness,1
reproducing,0
christ,2
tyranny,0
injustices,2
flight,0
overwhelmeth,1
method,0
devised,0
actings,0
spark,3
feed,2
unthankful,2
much,36
property,0
altar,6
changeable,0
drinking,1
risen,0
sky,0
original,0
persecutors,1
hide,7
tendons,0
earring,0
famine,3
israelites,0
supporting,0
irreverence,1
accusation,1
downward,0
nearer,0
needy,5
bitterest,0
styled,1
renew,2
priestly,0
clothe,2
flit,0
oilofthejoints,0
solace,0
dye,0
frogs,0
tookest,0
mouth,40
grindeth,0
fleshless,0
child,4
lifework,0
conditions,0
shamefaced,1
avyaktam,0
pay,6
horses,1
variations,0
day,36
accord,0
undecaying,0
merciless,0
belieth,0
unholiness,0
vapours,1
painpain,0
protested,1
speaking,1
sparks,0
allencircling,0
deluded,0
rivalry,0
crouching,1
stayed,0
strangers,1
turns,1
someone,0
raising,0
paschal,0
whole,5
showed,1
chief,3
delicately,0
universal,0
soullife,0
sacred,0
dissembler,0
mansions,0
samadhi,0
facet,0
sacrificeth,2
virgin,2
livid,0
buds,0
renown,1
rude,0
unites,0
gen,1
naught,0
lack,0
sanctification,1
fire,34
double,11
unfit,0
stumble,4
ignoble,0
devising,0
resolve,0
sinlessness,0
justify,6
wellguarded,0
dwellest,1
unpretentious,0
unhampered,0
stirred,0
sinful,5
body,11
robe,7
outermost,0
fruitless,0
siva,0
slanderous,1
proceeding,0
tastes,0
tempest,0
chain,1
beantiful,0
leaves,2
clods,0
reason,0
apprentice,0
sincerely,1
tokens,0
suddenly,0
implies,0
deceive,1
contend,1
white,0
breadth,1
daytime,0
thrown,0
senators,0
mischiefs,0
expressing,0
pocket,0
tradition,0
blindeth,1
sometimes,3
times,8
arrayed,0
ravens,0
blindness,0
denying,0
nations,15
firesacrifice,0
simply,0
presented,0
dependence,0
meditations,0
cheereth,1
borderer,0
birthless,0
preferably,0
laws,1
penetrative,0
relative,0
plagues,0
vanquished,0
testimony,3
effected,0
letter,0
offendicula,1
frames,0
meditating,0
wicked,42
instance,0
deva,0
covetousness,0
piece,0
third,6
consecrated,1
potency,0
renewal,0
stick,1
mightily,0
harmony,0
conferring,0
nonexistence,0
consoling,0
elude,0
patanjali,0
godvision,0
breathing,1
suppresseth,0
ancestor,0
nosesphere,0
boast,0
surface,0
chanted,0
composed,0
permeates,0
judge,14
choice,1
brahmacharya,0
obituaries,0
riotous,1
misfortune,0
unpervaded,0
dispersed,0
darkness,4
rebellious,1
swiftness,0
morning,6
showing,0
indigo,0
mindborn,0
avidya,0
vineyards,0
enlarged,1
belief,0
angels,0
ant,0
attended,0
congregation,10
rule,3
characteristics,0
values,0
spontaneous,0
simon,1
sends,0
accumulation,0
force,3
emancipation,0
pitcher,0
determinative,0
baneful,0
fighting,1
fathers,3
frame,1
reneweth,0
desirer,0
disregard,0
undertakes,0
olden,0
naturalists,0
clingingsustenance,0
vermilion,0
shorten,1
preoccupation,0
clay,2
dry,4
imprisoned,0
aloud,0
entangles,0
irons,0
merchandise,0
vayu,0
reproved,4
nets,0
clemency,0
sick,2
frequent,0
offereth,3
hearts,8
streets,4
composition,1
petty,0
affairs,0
grace,24
bondages,0
drunken,4
snake,0
crystal,1
converted,1
despised,4
earcontact,0
considering,1
yoke,7
plans,0
rabbit,0
shock,0
ancient,3
moved,3
effective,0
waning,0
abhorred,1
fulfil,1
potent,0
regular,0
countervail,1
therewith,2
shooteth,0
eaters,0
unfaithfulness,0
counteth,0
destructible,0
beats,0
armour,0
casting,0
offended,2
creatively,0
amends,0
remnants,0
prodigies,1
humiliation,2
increases,0
pierces,0
pestle,0
unestablished,0
devour,4
success,4
desireth,3
maidservants,0
balance,3
refresh,1
darwin,0
craft,1
flames,0
sensuality,0
worshipful,0
assert,0
courageously,0
swaddling,0
still,3
intent,0
suffereth,1
composure,0
friendly,0
madness,0
empty,2
abidingplace,0
smith,1
fit,1
agreement,1
arms,4
fish,0
instructeth,2
migration,0
bray,0
possessors,0
reflections,0
said,9
arm,3
grasping,0
savoring,0
depth,2
ear,8
shepherd,1
clans,0
crib,0
moderate,2
wore,0
bath,0
term,0
sensual,0
bathman,0
hating,0
justice,30
healed,1
saw,9
extending,0
swearing,2
repaired,0
wearing,0
reaps,0
diligence,2
storax,1
repeateth,0
pessimism,0
indulgence,0
disposest,0
today,0
austerities,0
concentrated,0
surname,1
sword,6
infamy,1
fatherless,2
prophets,8
saviour,2
claims,0
lion,7
valiant,2
diverse,0
rudiments,0
suspected,1
timeliness,0
standing,1
sold,0
learned,5
season,4
lifeincreasing,0
confirmed,4
aright,1
attracts,0
unknown,1
wandereth,0
plies,0
strategy,0
mothers,2
wrath,22
preeminence,3
notes,0
craving,0
commentators,0
provideth,1
adversaries,3
members,0
we,0
quenching,0
provoketh,0
wounded,2
rejects,0
stroke,3
believeth,1
overfloweth,0
stupid,0
touchless,0
steadfastness,1
rhinoceros,0
seconds,0
interpreter,0
bringing,2
aloof,0
confounded,9
minister,0
school,0
destroyeth,2
rottenness,1
vibration,0
instructions,1
creature,0
complain,2
manifestly,0
precept,0
horrified,0
partings,0
bedding,0
echo,0
proceed,0
o,0
size,0
jesus,7
assent,0
unable,0
longs,0
graven,2
control,0
desiring,0
shine,2
axle,0
translated,2
fugitives,0
generally,0
threeand,0
safety,1
aimed,0
forgetfulness,0
passages,0
correcting,0
joyfully,0
form,0
anytime,1
indigence,0
jerusalem,3
escapeth,2
dragon,1
forsake,8
detail,0
withdraw,2
fixedly,0
series,0
incontinence,0
either,1
obdurate,0
