,0
foolishness,0
hath,2
wholesome,1
takest,0
feelings,0
anger,0
vaivaswata,0
matrix,1
kindled,0
convict,0
diadem,0
rushed,0
saliva,0
revelation,2
indirectly,0
open,7
distortions,1
expecteth,0
perishing,0
rage,0
unbridled,1
looketh,0
washed,0
nursingmother,0
caper,0
prosperous,0
lightmindedness,1
imprisonment,2
maghavan,0
supported,0
distinctions,1
lambs,0
illumination,9
mercury,0
partakers,1
tell,5
build,5
neither,7
soft,0
detraction,0
thirsting,0
filial,0
shortness,0
mentally,0
land,1
nonexistent,0
ignorantly,0
warning,1
conceal,0
events,3
fare,0
occupation,0
commit,1
shocks,1
performs,0
noseconsciousness,0
certainty,1
gluttony,1
gospel,0
guest,0
argumentative,1
axletree,0
tillage,0
countercurrent,1
approveth,0
mood,3
impressions,4
bull,0
valuable,0
visible,8
siding,0
cypress,0
possessor,1
propped,0
sacrificial,0
separateness,9
cistern,0
amiable,0
treats,0
let,16
coward,0
handle,2
something,11
descending,1
lake,0
drew,0
disquieted,0
felt,5
ends,0
afar,0
remedy,2
casts,2
i,0
affliction,0
illuminating,1
pained,0
aristotle,1
disadvantages,1
imperishable,0
incantations,2
debt,2
ruled,1
join,0
conveys,0
winds,2
discerning,0
convenient,0
survive,1
adorable,0
staying,0
united,1
origination,0
aged,0
limitless,1
individuality,9
exalting,0
sweareth,0
bewitching,0
great,34
overtaken,0
hardly,1
yielding,0
voyage,0
created,0
seventh,1
suspect,2
embrace,0
came,2
soothsayer,0
addressing,1
explained,3
violent,0
joyful,0
idle,0
regrets,1
sodium,1
insuperable,1
riot,0
reverently,0
elsewhere,0
kingdoms,0
exquisite,0
succession,4
joy,14
fears,5
iniquity,0
sunbeam,0
suns,2
thus,44
asunder,1
wonder,1
withheld,0
injurious,0
fillet,0
gives,8
pamper,0
skillful,0
prepareth,0
aversion,0
kidneys,0
play,2
disenchantment,0
afflicted,2
transferring,2
decease,0
sassing,1
possesseth,0
conformity,1
agni,0
inaudible,0
leave,0
reserveth,0
joyfulness,0
drying,0
appeared,0
ended,2
detach,1
rises,2
immutable,0
flows,1
asked,2
folding,0
wand,0
criminal,1
victory,7
marrow,0
decreaseth,0
abandoning,0
although,0
limit,2
eagle,0
glass,0
refreshment,0
song,1
generalization,1
polestar,1
provide,0
diligently,0
earnestly,0
bibles,0
smites,0
idiosyncrasies,1
deviseth,0
respondedthe,0
forming,4
distressdistress,0
charges,0
forgotten,2
sojourning,0
connected,0
suffers,0
meetings,1
abuse,0
admit,1
shrinking,0
kings,0
confections,0
creations,1
short,3
existed,0
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,0
fond,0
ruler,0
pricketh,0
contents,0
considereth,0
devotes,0
reconciliation,1
entrap,0
everlastingness,1
vestments,0
tale,0
weighed,0
heap,0
common,1
grove,0
amazed,0
seeks,5
flourished,0
almond,0
befall,0
rolling,1
exhaustion,0
brings,14
looked,1
resolves,0
places,4
asketh,0
armpit,0
sacrifice,7
quarrel,0
longed,1
stirreth,0
spiritual,300
breaks,3
devoureth,0
fragmentary,0
coarse,0
jesse,0
abnormal,2
jest,0
stronger,2
inclineth,0
usually,0
animal,4
roguery,1
tile,1
galaxies,1
drives,1
condemnation,0
renounce,0
acknowledgment,1
sat,0
harps,0
precedes,1
work,17
motions,3
dungcarts,0
arranging,1
waketh,0
hither,2
giveth,0
robberies,0
giants,0
lot,0
nigh,0
overthrow,0
bulk,0
ownership,0
enumerating,1
comparing,3
license,0
exposed,0
lands,1
stops,0
attribution,1
seducers,0
rose,1
rupa,0
whales,0
deficiency,0
poetry,2
honoured,0
ram,0
merchants,0
insatiable,0
waxes,2
paramatman,0
shineth,0
husbandman,5
fidelity,0
vacancy,0
absorbing,1
