,0
foolishness,0
hath,46
wholesome,0
takest,0
feelings,0
anger,5
vaivaswata,0
matrix,0
kindled,0
convict,0
diadem,0
rushed,0
saliva,0
revelation,0
indirectly,0
open,0
distortions,0
expecteth,0
perishing,0
rage,0
unbridled,0
looketh,0
washed,0
nursingmother,0
caper,1
prosperous,0
lightmindedness,0
imprisonment,0
maghavan,0
supported,1
distinctions,0
lambs,0
illumination,0
mercury,0
partakers,0
tell,5
build,1
neither,13
soft,0
detraction,0
thirsting,0
filial,0
shortness,0
mentally,0
land,3
nonexistent,0
ignorantly,0
warning,0
conceal,0
events,0
fare,0
occupation,1
commit,1
shocks,0
performs,0
noseconsciousness,0
certainty,0
gluttony,0
gospel,0
guest,0
argumentative,0
axletree,0
tillage,0
countercurrent,0
approveth,0
mood,0
impressions,0
bull,0
valuable,0
visible,0
siding,0
cypress,0
possessor,0
propped,0
sacrificial,0
separateness,0
cistern,1
amiable,0
treats,0
let,10
coward,0
handle,0
something,0
descending,0
lake,0
drew,0
disquieted,0
felt,0
ends,0
afar,0
remedy,0
casts,0
i,0
affliction,4
illuminating,0
pained,0
aristotle,0
disadvantages,0
imperishable,0
incantations,0
debt,0
ruled,0
join,0
conveys,0
winds,0
discerning,0
convenient,0
survive,0
adorable,0
staying,0
united,0
origination,0
aged,0
limitless,0
individuality,0
exalting,0
sweareth,1
bewitching,0
great,14
overtaken,0
hardly,0
yielding,0
voyage,0
created,0
seventh,0
suspect,0
embrace,1
came,4
soothsayer,0
addressing,0
explained,0
violent,1
joyful,0
idle,2
regrets,0
sodium,0
insuperable,0
riot,0
reverently,0
elsewhere,0
kingdoms,0
exquisite,0
succession,0
joy,2
fears,0
iniquity,1
sunbeam,0
suns,0
thus,0
asunder,0
wonder,1
withheld,1
injurious,0
fillet,1
gives,0
pamper,0
skillful,0
prepareth,0
aversion,0
kidneys,0
play,0
disenchantment,0
afflicted,0
transferring,0
decease,0
sassing,0
possesseth,1
conformity,0
agni,0
inaudible,0
leave,2
reserveth,0
joyfulness,0
drying,0
appeared,0
ended,0
detach,0
rises,0
immutable,0
flows,0
asked,0
folding,0
wand,0
criminal,0
victory,0
marrow,0
decreaseth,0
abandoning,0
although,1
limit,0
eagle,0
glass,0
refreshment,1
song,0
generalization,0
polestar,0
provide,0
diligently,0
earnestly,2
bibles,0
smites,0
idiosyncrasies,0
deviseth,0
respondedthe,0
forming,0
distressdistress,0
charges,0
forgotten,2
sojourning,0
connected,0
suffers,0
meetings,0
abuse,0
admit,0
shrinking,0
kings,1
confections,0
creations,0
short,0
existed,0
jeroboam,0
neitherpainfulnorpleasant,0
defective,0
worthy,1
fond,0
ruler,0
pricketh,0
contents,0
considereth,1
devotes,0
reconciliation,0
entrap,0
everlastingness,0
vestments,0
tale,0
weighed,0
heap,1
common,0
grove,0
amazed,0
seeks,0
flourished,0
almond,1
befall,0
rolling,0
exhaustion,0
brings,0
looked,0
resolves,0
places,1
asketh,0
armpit,0
sacrifice,0
quarrel,0
longed,0
stirreth,0
spiritual,0
breaks,0
devoureth,0
fragmentary,0
coarse,0
jesse,0
abnormal,0
jest,0
stronger,1
inclineth,0
usually,0
animal,1
roguery,0
tile,0
galaxies,0
drives,0
condemnation,0
renounce,0
acknowledgment,0
sat,0
harps,0
precedes,0
work,6
motions,0
dungcarts,0
arranging,0
waketh,0
hither,0
giveth,0
robberies,0
giants,0
lot,0
nigh,2
overthrow,0
bulk,0
ownership,0
enumerating,0
comparing,0
license,0
exposed,1
lands,0
stops,0
attribution,0
seducers,0
rose,0
rupa,0
whales,0
deficiency,0
poetry,0
honoured,0
ram,0
merchants,0
insatiable,0
waxes,0
paramatman,0
shineth,1
husbandman,0
fidelity,0
vacancy,0
absorbing,0
preserver,0
reward,1
stumbling,0
lightens,0
past,3
surrender,0
scandal,0
unnoticed,0
excellence,0
entity,0
promise,1
potencies,0
astronomer,0
overturneth,0
saved,1
familiarly,0
lifechannels,0
selfrealization,0
mocker,0
table,0
wandered,0
located,0
mould,0
think,1
filthiness,0
perhaps,1
welling,0
links,0
swallow,0
grandest,0
womb,2
arose,0
theft,0
watered,0
spoke,0
ripe,0
drifting,0
torments,0
warm,1
hunter,1
examines,0
prajapati,0
thief,0
expends,0
devotion,0
practising,0
lions,0
cluster,0
vanishing,0
shrinks,0
resting,0
irritated,0
grant,0
application,1
planter,0
portions,0
robes,0
takes,1
disinterested,0
youth,6
workmaster,0
joints,0
projections,0
stalk,0
supplement,0
delusion,0
smothers,0
disorder,0
married,0
employments,0
imitate,0
sheweth,0
crossed,0
firstfruits,0
poured,0
blemish,0
intestines,0
withdrawal,0
signs,0
quieted,0
thefts,0
high,3
luxuriant,0
endowment,0
differentiate,0
striking,0
promised,1
acquaint,0
out,0
caused,0
reservoir,0
sign,0
dependent,0
crosses,0
antetype,0
thunder,0
examined,0
easily,1
claiming,0
forsaken,0
touching,0
resistance,0
villager,0
redeemed,0
stress,0
haughtiness,0
keep,5
revealeth,0
concupiscence,0
selfconscious,0
better,22
